isDGA,domain,host,subclass
dga,prsmaakivhgwf,prsmaakivhgwf.ru,cryptolocker
dga,e10w5r15k9vksnuql51ul8q7q,e10w5r15k9vksnuql51ul8q7q.net,gameoverdga
dga,sinddsqtqdbk,sinddsqtqdbk.ru,cryptolocker
dga,h7rfh2kghpnx1ta7kmv1nttg0n,h7rfh2kghpnx1ta7kmv1nttg0n.org,gameoverdga
dga,gqifscfjnsbc,gqifscfjnsbc.net,cryptolocker
dga,1m8zjh5u48uiqz4ncxg3hexbv,1m8zjh5u48uiqz4ncxg3hexbv.com,gameoverdga
dga,sodtvfupmgpjb,sodtvfupmgpjb.ru,cryptolocker
dga,1iw7m2e1jk1xmdcytwcm10bbszc,1iw7m2e1jk1xmdcytwcm10bbszc.biz,newgoz
dga,xulgigkar0b315dhdgcmm8jk2,xulgigkar0b315dhdgcmm8jk2.net,gameoverdga
dga,wngasymnrmmpy,wngasymnrmmpy.ru,cryptolocker
dga,bebawohsgqwcxhupruwrnbwkxs,bebawohsgqwcxhupruwrnbwkxs.ru,goz
dga,takencount,takencount.net,nivdort
dga,7af2f875dfe0d36bef4732d52b537c55,7af2f875dfe0d36bef4732d52b537c55.org,bamital
dga,34xm076ac166umlgv71yo2ag5,34xm076ac166umlgv71yo2ag5.org,gameoverdga
dga,lvkzkqytmrduobircujvfqydon,lvkzkqytmrduobircujvfqydon.ru,goz
dga,17g66qyo5ntr0iohra24nwon5,17g66qyo5ntr0iohra24nwon5.net,newgoz
dga,ufmnjlkdauhrwfvbvii,ufmnjlkdauhrwfvbvii.com,necurs
dga,faironly,faironly.net,nivdort
dga,adfataeu,adfataeu.cm,necurs
dga,onombpqbucwv,onombpqbucwv.ru,cryptolocker
dga,vkkvqcixobpscjr,vkkvqcixobpscjr.com,cryptolocker
dga,xxudclnksxxw,xxudclnksxxw.ru,cryptolocker
dga,hmveanvukamuctobadgalxscrouw,hmveanvukamuctobadgalxscrouw.ru,goz
dga,ospuovpxlkmdxrr,ospuovpxlkmdxrr.com,cryptolocker
dga,nexyowcpsrxk,nexyowcpsrxk.ru,cryptolocker
dga,kyjcqkvqulkoy,kyjcqkvqulkoy.mn,necurs
dga,wrdwqgonjuqrnc,wrdwqgonjuqrnc.ru,cryptolocker
dga,takenought,takenought.net,nivdort
dga,esnacmogsbyxayr,esnacmogsbyxayr.ru,cryptolocker
dga,ht5y95kbuiq6x10oua1vwjl7v,ht5y95kbuiq6x10oua1vwjl7v.org,newgoz
dga,zcb236bc551c10vaztar58w3v,zcb236bc551c10vaztar58w3v.com,gameoverdga
dga,zv96031bcsdgx1eqoxl6rjrmtg,zv96031bcsdgx1eqoxl6rjrmtg.biz,gameoverdga
dga,humanhappy,humanhappy.net,nivdort
dga,nnbrdtdbtgsdayrw,nnbrdtdbtgsdayrw.ac,necurs
dga,ur3nnet4ao8ofcg3a81sl0jc3,ur3nnet4ao8ofcg3a81sl0jc3.org,newgoz
dga,tavtcctn,tavtcctn.bit,necurs
dga,xzctpqf0zcbjc9hgh1njvpp8,xzctpqf0zcbjc9hgh1njvpp8.biz,newgoz
dga,lwmgjqvhpwiabx,lwmgjqvhpwiabx.in,necurs
dga,glwlrnxbkkwpegt,glwlrnxbkkwpegt.ru,cryptolocker
dga,aejznveaemqtzpgbicakfwsjrkn,aejznveaemqtzpgbicakfwsjrkn.ru,goz
dga,1xib58g15jskjv170wbbbgvdu5h,1xib58g15jskjv170wbbbgvdu5h.com,gameoverdga
dga,nqixjfmbnugc,nqixjfmbnugc.ru,cryptolocker
dga,wujldvpnwtarme,wujldvpnwtarme.info,cryptolocker
dga,gghxkwhadhrvwselntnpg,gghxkwhadhrvwselntnpg.co,necurs
dga,d67613e6349becbb0b2c2fc2a51bd674,d67613e6349becbb0b2c2fc2a51bd674.org,bamital
dga,lcfprtxxieutukm,lcfprtxxieutukm.ru,cryptolocker
dga,c1a977e5c373b41da2578ec059bac431,c1a977e5c373b41da2578ec059bac431.co.cc,bamital
dga,vjfgtiaqhiam,vjfgtiaqhiam.info,cryptolocker
dga,1atzlbwjelkc3o7ztua1vfz1gi,1atzlbwjelkc3o7ztua1vfz1gi.org,gameoverdga
dga,dc8a3dc47bbd3d27a187bef5f006aad5,dc8a3dc47bbd3d27a187bef5f006aad5.info,bamital
dga,arivejune,arivejune.net,nivdort
dga,69250cd4723eda09988f0066731ce10e,69250cd4723eda09988f0066731ce10e.co.cc,bamital
dga,yggiqnjpjgfs,yggiqnjpjgfs.ki,necurs
dga,4d626ca6a92cad54be4f4f41c1035ee2,4d626ca6a92cad54be4f4f41c1035ee2.info,bamital
dga,cissmlwlddxx,cissmlwlddxx.ru,cryptolocker
dga,36bbad797ea27914dc8e55c2762c37d0,36bbad797ea27914dc8e55c2762c37d0.cz.cc,bamital
dga,4ac8e0af3fe8f404afae90bbb7ec33d5,4ac8e0af3fe8f404afae90bbb7ec33d5.info,bamital
dga,ybdmuspdvlrbcmqmehja,ybdmuspdvlrbcmqmehja.nf,necurs
dga,yyntbkwkqolbq,yyntbkwkqolbq.ru,cryptolocker
dga,jbnjyteilrthecqgiyxtokjwk,jbnjyteilrthecqgiyxtokjwk.ru,goz
dga,uxdabttlpvpdd,uxdabttlpvpdd.ru,cryptolocker
dga,jhagspuhdsyseb,jhagspuhdsyseb.ru,cryptolocker
dga,iimpjassaboqbqxembn,iimpjassaboqbqxembn.jp,necurs
dga,1ycd3efvgrwbxkxggur71knmw,1ycd3efvgrwbxkxggur71knmw.com,newgoz
dga,4c134f8a2e34831a4e7478c77a8ff4a4,4c134f8a2e34831a4e7478c77a8ff4a4.cz.cc,bamital
dga,gnwnixjeqiegors,gnwnixjeqiegors.ru,cryptolocker
dga,lesmcexfgcmtv,lesmcexfgcmtv.ru,cryptolocker
dga,yvbtespycpnefd,yvbtespycpnefd.ru,cryptolocker
dga,0351d5799825570b097cd83f3eea825a,0351d5799825570b097cd83f3eea825a.co.cc,bamital
dga,mrzdtorslvkjyxguhuvwddmkrvw,mrzdtorslvkjyxguhuvwddmkrvw.ru,goz
dga,quicktell,quicktell.net,nivdort
dga,wmfvwmdllgwdwgvvblfl,wmfvwmdllgwdwgvvblfl.nu,necurs
dga,yrlwpwvlayvaaus,yrlwpwvlayvaaus.ru,cryptolocker
dga,iufrnirkvjmq,iufrnirkvjmq.ru,cryptolocker
dga,southlend,southlend.net,nivdort
dga,1u182ow1vjhavz1j4mk7k1suvz9f,1u182ow1vjhavz1j4mk7k1suvz9f.net,gameoverdga
dga,jchkpqysdc,jchkpqysdc.cx,necurs
dga,mtnacfsvaqjgx,mtnacfsvaqjgx.eu,necurs
dga,csc1wfndiwo313riq9auak1i3,csc1wfndiwo313riq9auak1i3.net,newgoz
dga,18fsajlj2b5vp1azo7ivn6iojj,18fsajlj2b5vp1azo7ivn6iojj.net,newgoz
dga,cbaekflxjjxrhv,cbaekflxjjxrhv.co.uk,cryptolocker
dga,sfilluripexp,sfilluripexp.ru,cryptolocker
dga,syvbibwljcfo,syvbibwljcfo.ru,cryptolocker
dga,ltjgthyyppox,ltjgthyyppox.ru,cryptolocker
dga,eemlqutyvedjhthmoqc,eemlqutyvedjhthmoqc.im,necurs
dga,8b4bb5800e8095fd927163cd5781c480,8b4bb5800e8095fd927163cd5781c480.cz.cc,bamital
dga,nkigtpiytcvsd,nkigtpiytcvsd.ru,cryptolocker
dga,tocvgewjqdukj,tocvgewjqdukj.ru,cryptolocker
dga,folrxkmfuttfmg,folrxkmfuttfmg.ru,cryptolocker
dga,1ld7yjqconcctqjwa3xid9j7d,1ld7yjqconcctqjwa3xid9j7d.net,newgoz
dga,skusbixsxnvfqrsrwlgvgamzonoj,skusbixsxnvfqrsrwlgvgamzonoj.ru,goz
dga,gzhaxctcsbesobhxkbonwkxo,gzhaxctcsbesobhxkbonwkxo.ru,goz
dga,f5ff17c69995420cdfff305cbe660b47,f5ff17c69995420cdfff305cbe660b47.co.cc,bamital
dga,fupxcmrgtzdhugaxtstjnzh,fupxcmrgtzdhugaxtstjnzh.ru,goz
dga,mjdmbhmtzxkjbypdebmqkfimvx,mjdmbhmtzxkjbypdebmqkfimvx.ru,goz
dga,1pmjhx129kzelcrunhch8qhe9,1pmjhx129kzelcrunhch8qhe9.net,gameoverdga
dga,v51ysi1r4kyt1qd8iislp35om,v51ysi1r4kyt1qd8iislp35om.biz,gameoverdga
dga,1k1e1vjemjqfc1ax1d4y1ceuhsi,1k1e1vjemjqfc1ax1d4y1ceuhsi.net,newgoz
dga,xy29saitu5281cvlpffmelbhf,xy29saitu5281cvlpffmelbhf.net,gameoverdga
dga,gimfccyqrlsy,gimfccyqrlsy.ru,cryptolocker
dga,xcqsuqcovuswonfxsqocdmzlfx,xcqsuqcovuswonfxsqocdmzlfx.ru,goz
dga,ozdxrwdrkqwkjqtcjzkbdde,ozdxrwdrkqwkjqtcjzkbdde.ru,goz
dga,gvdblnvbqjkujktjlverl,gvdblnvbqjkujktjlverl.xxx,necurs
dga,905928cf9af8c9cd818f5959bb1f2f55,905928cf9af8c9cd818f5959bb1f2f55.co.cc,bamital
dga,ydhmbyhgypnkdpzcymnnjxcalfm,ydhmbyhgypnkdpzcymnnjxcalfm.ru,goz
dga,hfkgfhvrullao,hfkgfhvrullao.ru,cryptolocker
dga,eovvbexqfak,eovvbexqfak.org,necurs
dga,tkhyusyexbiwjnr,tkhyusyexbiwjnr.ru,cryptolocker
dga,sickaugust,sickaugust.net,nivdort
dga,138k61cllt8ns198bhukbeuudp,138k61cllt8ns198bhukbeuudp.com,gameoverdga
dga,ffbfbsbaycuuyc,ffbfbsbaycuuyc.biz,cryptolocker
dga,vlppaqfirieyf,vlppaqfirieyf.ru,cryptolocker
dga,babdwrpenpwiprxug,babdwrpenpwiprxug.im,necurs
dga,sbjkrbysmjjsqd,sbjkrbysmjjsqd.ru,cryptolocker
dga,gladsure,gladsure.net,nivdort
dga,17uulnu4pm69g6utfo1gh744f,17uulnu4pm69g6utfo1gh744f.com,gameoverdga
dga,4e3f3b1ba8a0b611c324f51efd898d47,4e3f3b1ba8a0b611c324f51efd898d47.co.cc,bamital
dga,saltmonday,saltmonday.net,nivdort
dga,gliscdpfaeikib,gliscdpfaeikib.ru,cryptolocker
dga,7cothijg530u12q373410mqfp8,7cothijg530u12q373410mqfp8.com,gameoverdga
dga,ayoxptntymrh,ayoxptntymrh.ru,cryptolocker
dga,1tv4gfef17iu91gkeames7qvus,1tv4gfef17iu91gkeames7qvus.biz,gameoverdga
dga,fe1f9aa1b5ee9209ce7ca5962d5d35ee,fe1f9aa1b5ee9209ce7ca5962d5d35ee.cz.cc,bamital
dga,nuhvfevclmkbbp,nuhvfevclmkbbp.ru,cryptolocker
dga,milkeasy,milkeasy.net,nivdort
dga,gladcompe,gladcompe.net,nivdort
dga,eexjgknxigdcoa,eexjgknxigdcoa.ru,cryptolocker
dga,fkkdvaonngdplrf,fkkdvaonngdplrf.ru,cryptolocker
dga,hclpbjvoobgncg,hclpbjvoobgncg.ru,cryptolocker
dga,darkdance,darkdance.net,nivdort
dga,casemeet,casemeet.net,nivdort
dga,gojfvgpwdjygb,gojfvgpwdjygb.ru,cryptolocker
dga,bpjrkjmyyylsmoy,bpjrkjmyyylsmoy.ru,cryptolocker
dga,csmryrnbkhfhvl,csmryrnbkhfhvl.ru,cryptolocker
dga,c6571c9c6e1a5164c7bdf48c3e3bbe61,c6571c9c6e1a5164c7bdf48c3e3bbe61.co.cc,bamital
dga,wqegjgahpptjai,wqegjgahpptjai.ru,cryptolocker
dga,ltdhxwirlfbeoma,ltdhxwirlfbeoma.com,cryptolocker
dga,meatcolor,meatcolor.net,nivdort
dga,1uv4ek21fbwt9zxkod1edeyx13,1uv4ek21fbwt9zxkod1edeyx13.net,gameoverdga
dga,mmtxloqamswrdeth,mmtxloqamswrdeth.us,necurs
dga,wqppfubvyaxqsdg,wqppfubvyaxqsdg.ru,cryptolocker
dga,ucmjrsnzbqdwhbqfesci,ucmjrsnzbqdwhbqfesci.ru,goz
dga,1wopm6i1f4mm4plyodyr2ucnlv,1wopm6i1f4mm4plyodyr2ucnlv.net,newgoz
dga,15d5tc6b7vmjq13uu2jcr69if,15d5tc6b7vmjq13uu2jcr69if.net,gameoverdga
dga,tpmrofhmfeqnfqghmvcmxsvcdqkf,tpmrofhmfeqnfqghmvcmxsvcdqkf.ru,goz
dga,vxgpofncjjyrih,vxgpofncjjyrih.ru,cryptolocker
dga,yahtnfgtmatitpl,yahtnfgtmatitpl.ru,cryptolocker
dga,xwtxfxrdminrb,xwtxfxrdminrb.com,cryptolocker
dga,66af6fb0f4ba1c52f4bd18cdd306b809,66af6fb0f4ba1c52f4bd18cdd306b809.org,bamital
dga,vttuqneeebka,vttuqneeebka.ru,cryptolocker
dga,loahpfglxcxqwtxdw,loahpfglxcxqwtxdw.in,necurs
dga,sbsuaemhssevcnreanvvu,sbsuaemhssevcnreanvvu.mn,necurs
dga,pdxhdsahokbwn,pdxhdsahokbwn.biz,cryptolocker
dga,gmrwkzbpbusxrcqnvqdgy,gmrwkzbpbusxrcqnvqdgy.ru,goz
dga,bevwafwnyedd,bevwafwnyedd.net,cryptolocker
dga,hangboat,hangboat.net,nivdort
dga,186c6ff690094c3d6d794dcfd8d62552,186c6ff690094c3d6d794dcfd8d62552.co.cc,bamital
dga,djcayneqmebd,djcayneqmebd.org,cryptolocker
dga,1ociljo1yfnv0j6koqsv1bstvrg,1ociljo1yfnv0j6koqsv1bstvrg.org,newgoz
dga,vpeehuhlbmhgqk,vpeehuhlbmhgqk.ru,cryptolocker
dga,xqjuwemusfoqynxu,xqjuwemusfoqynxu.co,necurs
dga,yhvfudtftmbrqyo,yhvfudtftmbrqyo.ru,cryptolocker
dga,1ia6gm4ngb3rc16dl7s21f4mq61,1ia6gm4ngb3rc16dl7s21f4mq61.net,gameoverdga
dga,hwijkipyrfpbcj,hwijkipyrfpbcj.ru,cryptolocker
dga,qwysacog8gy73k08qo1hjqbb6,qwysacog8gy73k08qo1hjqbb6.org,newgoz
dga,nwbuyjmcmkown,nwbuyjmcmkown.biz,cryptolocker
dga,1i97vvs1iiamadq1awla1v5lqx2,1i97vvs1iiamadq1awla1v5lqx2.biz,gameoverdga
dga,tbldhirvmirep,tbldhirvmirep.info,cryptolocker
dga,offerwild,offerwild.net,nivdort
dga,plslhdyxboojv,plslhdyxboojv.net,cryptolocker
dga,hpxfwhphcemj,hpxfwhphcemj.ru,cryptolocker
dga,265b4dbd02d2149caf797a0bf9466e8c,265b4dbd02d2149caf797a0bf9466e8c.cz.cc,bamital
dga,qqmrnyacfekcyx,qqmrnyacfekcyx.ru,cryptolocker
dga,1p052xizse4cfc80ek55t0cia,1p052xizse4cfc80ek55t0cia.net,newgoz
dga,ukykeiwiymrkaja,ukykeiwiymrkaja.ru,cryptolocker
dga,1nduxitp7uaqiit7xy01924f39,1nduxitp7uaqiit7xy01924f39.com,newgoz
dga,poxqvhplfbjw,poxqvhplfbjw.ru,cryptolocker
dga,hpfkgmctjtcdf,hpfkgmctjtcdf.ru,cryptolocker
dga,hairlift,hairlift.net,nivdort
dga,uulgsdqgjajq,uulgsdqgjajq.net,cryptolocker
dga,movehope,movehope.net,nivdort
dga,joinshown,joinshown.net,nivdort
dga,18wku1etyg00vgrxsrq6fdey7,18wku1etyg00vgrxsrq6fdey7.net,newgoz
dga,xuhisqighvywhx,xuhisqighvywhx.net,cryptolocker
dga,mjwxxjyyjajskb,mjwxxjyyjajskb.ru,cryptolocker
dga,whomeasy,whomeasy.net,nivdort
dga,1958adk9lox8m1pyogj61x5bg1d,1958adk9lox8m1pyogj61x5bg1d.biz,newgoz
dga,3rv865z3s45u1rybuvr12cf0yy,3rv865z3s45u1rybuvr12cf0yy.net,gameoverdga
dga,njnneefvltkumif,njnneefvltkumif.ru,cryptolocker
dga,fqrsrgjsdccw,fqrsrgjsdccw.ru,cryptolocker
dga,nxkpjqghvrybthq,nxkpjqghvrybthq.com,cryptolocker
dga,ltvaphjumedw,ltvaphjumedw.ru,cryptolocker
dga,riqjy94trvfb16859vg1xdyseu,riqjy94trvfb16859vg1xdyseu.com,newgoz
dga,onwuxudgjtnjh,onwuxudgjtnjh.biz,cryptolocker
dga,5ptv7vtzih7wke5nkgla0uy6,5ptv7vtzih7wke5nkgla0uy6.biz,gameoverdga
dga,q3mv7zpuc4cd13z156e10gn6du,q3mv7zpuc4cd13z156e10gn6du.org,newgoz
dga,qitesk8mqt81tzfz3okiz4em,qitesk8mqt81tzfz3okiz4em.com,newgoz
dga,bqqxxurakhkuoyv,bqqxxurakhkuoyv.ru,cryptolocker
dga,rdtwsvnnpsilaxtcddgu,rdtwsvnnpsilaxtcddgu.mu,necurs
dga,xbma9010iss5p12lievyeur84g,xbma9010iss5p12lievyeur84g.org,newgoz
dga,6cae42480844dbcad8fd6449c6dd7f03,6cae42480844dbcad8fd6449c6dd7f03.info,bamital
dga,ddphygqeeyyg,ddphygqeeyyg.ru,cryptolocker
dga,lugtjlhmwgkaevk,lugtjlhmwgkaevk.ru,cryptolocker
dga,13fo32q1vpb40d1fb0whfuj71uo,13fo32q1vpb40d1fb0whfuj71uo.net,newgoz
dga,k3ngzj1ovavqkzwb2501eehow4,k3ngzj1ovavqkzwb2501eehow4.biz,newgoz
dga,19d0ggogoltk117iipybxu248l,19d0ggogoltk117iipybxu248l.org,newgoz
dga,lfswrrkkkedqc,lfswrrkkkedqc.com,cryptolocker
dga,fdgtcmvbwnoggm,fdgtcmvbwnoggm.biz,cryptolocker
dga,zmjbv6xj9cch3hvqcw1meov5k,zmjbv6xj9cch3hvqcw1meov5k.org,newgoz
dga,ffyucmiasonjq,ffyucmiasonjq.org,cryptolocker
dga,1at13j52o5ij01vkdpke1y2wkfm,1at13j52o5ij01vkdpke1y2wkfm.com,gameoverdga
dga,wgufvwmfjjuetbw,wgufvwmfjjuetbw.ru,cryptolocker
dga,swkndhanaxcnak,swkndhanaxcnak.info,cryptolocker
dga,sahydjiqxasry,sahydjiqxasry.com,cryptolocker
dga,1nexjz61pe7428chg9nd1afovl2,1nexjz61pe7428chg9nd1afovl2.org,newgoz
dga,uqookdnxxwoexd,uqookdnxxwoexd.info,cryptolocker
dga,mjsmbn1urpopl1qgnv1i1kr8yti,mjsmbn1urpopl1qgnv1i1kr8yti.net,newgoz
dga,raornbitsehc,raornbitsehc.ru,cryptolocker
dga,ururqurekotch,ururqurekotch.tw,necurs
dga,btxkvsdnguxay,btxkvsdnguxay.ru,cryptolocker
dga,jysdegpojxxspqy,jysdegpojxxspqy.ru,cryptolocker
dga,nwwbjjkaxeqtl,nwwbjjkaxeqtl.ru,cryptolocker
dga,1rqeba31oxg99pxpw4ijwuwcwo,1rqeba31oxg99pxpw4ijwuwcwo.net,newgoz
dga,signconsiderable,signconsiderable.net,nivdort
dga,1o2tjn41jd3p2z3xez2bdm278k,1o2tjn41jd3p2z3xez2bdm278k.biz,gameoverdga
dga,cbvldiqbvfsu,cbvldiqbvfsu.org,cryptolocker
dga,hmmbvoayizvqceibztkjypajb,hmmbvoayizvqceibztkjypajb.ru,goz
dga,nprvetqvjbbls,nprvetqvjbbls.ru,cryptolocker
dga,ced1fc782888876bc6972696483e5213,ced1fc782888876bc6972696483e5213.cz.cc,bamital
dga,groupsome,groupsome.net,nivdort
dga,atsbky1qdxoj61k6lzmeu3qf1x,atsbky1qdxoj61k6lzmeu3qf1x.biz,gameoverdga
dga,lmoqfahdtjpiu,lmoqfahdtjpiu.net,cryptolocker
dga,feafiujgwpbebw,feafiujgwpbebw.ru,cryptolocker
dga,ltnmotnebabd,ltnmotnebabd.ru,cryptolocker
dga,orrilhtmlufdy,orrilhtmlufdy.info,cryptolocker
dga,1bx0xfhrkpjh6opcsuf1vvsuae,1bx0xfhrkpjh6opcsuf1vvsuae.org,gameoverdga
dga,hnflgp4u2jjpsj5n0rzomqw4,hnflgp4u2jjpsj5n0rzomqw4.net,newgoz
dga,qwujxmgepsoooo,qwujxmgepsoooo.com,cryptolocker
dga,1ti1js414g25s1yxxub21yus461,1ti1js414g25s1yxxub21yus461.org,newgoz
dga,jybkvdyxfndmo,jybkvdyxfndmo.ru,cryptolocker
dga,tkebtefdooaufjo,tkebtefdooaufjo.ru,cryptolocker
dga,1rd2gqeahau76115fqa1m7tl2q,1rd2gqeahau76115fqa1m7tl2q.com,gameoverdga
dga,celrgdaijvsd,celrgdaijvsd.ru,cryptolocker
dga,dfillaqgkwaggp,dfillaqgkwaggp.ru,cryptolocker
dga,wuskmicldwgnbpupboglx,wuskmicldwgnbpupboglx.im,necurs
dga,uqvoauwfxicgm,uqvoauwfxicgm.eu,necurs
dga,xtsdkedkqnjtm,xtsdkedkqnjtm.ru,cryptolocker
dga,jakobmarxfcte,jakobmarxfcte.ru,cryptolocker
dga,takenelse,takenelse.net,nivdort
dga,visittaste,visittaste.net,nivdort
dga,jjnlrjuxoawnpl,jjnlrjuxoawnpl.ru,cryptolocker
dga,gladwhere,gladwhere.net,nivdort
dga,qcghchiwbhaspwh,qcghchiwbhaspwh.ru,cryptolocker
dga,48dcd6acb6cb552b9db08b644e4eacea,48dcd6acb6cb552b9db08b644e4eacea.co.cc,bamital
dga,qwaebwlxdueyrlh,qwaebwlxdueyrlh.biz,cryptolocker
dga,noxcpjdp,noxcpjdp.sx,necurs
dga,1mhveqjgdnt3p81g7udf3mryl,1mhveqjgdnt3p81g7udf3mryl.com,newgoz
dga,kmvnyejmivkyr,kmvnyejmivkyr.ru,cryptolocker
dga,hairhand,hairhand.net,nivdort
dga,112rwy9hv22f81bvq01n15u4hqc,112rwy9hv22f81bvq01n15u4hqc.net,gameoverdga
dga,bynhrwjcpuoyc,bynhrwjcpuoyc.biz,cryptolocker
dga,fisccygcmyfit,fisccygcmyfit.ru,cryptolocker
dga,sigvwyehpclfhd,sigvwyehpclfhd.ru,cryptolocker
dga,vkbgcmileuahwuon,vkbgcmileuahwuon.eu,necurs
dga,dqnnxpudprxvns,dqnnxpudprxvns.ru,cryptolocker
dga,wdqjkpltirjhtho,wdqjkpltirjhtho.ru,cryptolocker
dga,nkfrjfgmbarr,nkfrjfgmbarr.ru,cryptolocker
dga,1vtm6mq1c00d511uzs9ke1nfkp6u,1vtm6mq1c00d511uzs9ke1nfkp6u.biz,gameoverdga
dga,ohufyeefwhqhdq,ohufyeefwhqhdq.ru,cryptolocker
dga,tcdpumuyekxht,tcdpumuyekxht.ru,cryptolocker
dga,ujmvnkosjtglab,ujmvnkosjtglab.ru,cryptolocker
dga,1vjsn42io5z7u1kcjrpbydnlhm,1vjsn42io5z7u1kcjrpbydnlhm.biz,newgoz
dga,f869fa47f75ed4775575f9390d7f2433,f869fa47f75ed4775575f9390d7f2433.org,bamital
dga,d8gaqpsjngnj147m4r9pj7fq,d8gaqpsjngnj147m4r9pj7fq.com,newgoz
dga,kyafyfltsbgnrr,kyafyfltsbgnrr.me,necurs
dga,1hl0jfx1gdcey61pb10rx3anre,1hl0jfx1gdcey61pb10rx3anre.org,gameoverdga
dga,dtuklqmmsuujgx,dtuklqmmsuujgx.ru,cryptolocker
dga,kfbvqsogtkoirtj,kfbvqsogtkoirtj.ru,cryptolocker
dga,jqpdacumkjwt,jqpdacumkjwt.ru,cryptolocker
dga,aonvflwl,aonvflwl.ki,necurs
dga,fxufxlbuteapbv,fxufxlbuteapbv.ru,cryptolocker
dga,jubrndhxdxnkqkm,jubrndhxdxnkqkm.ru,cryptolocker
dga,humanworld,humanworld.net,nivdort
dga,of1iuc157dunr1fgzmqqb665f9,of1iuc157dunr1fgzmqqb665f9.biz,newgoz
dga,ehelbshsmkfr,ehelbshsmkfr.org,cryptolocker
dga,uiqfoovfqusnp,uiqfoovfqusnp.co.uk,cryptolocker
dga,lzqlr41iawubu1vtz1c91vnf9o4,lzqlr41iawubu1vtz1c91vnf9o4.net,gameoverdga
dga,pvqguvcoqokyls,pvqguvcoqokyls.ru,cryptolocker
dga,9m83eo3y1987ttgzp16vm62d,9m83eo3y1987ttgzp16vm62d.com,newgoz
dga,3yll9vrgmbxx1qem2r0bqwbh,3yll9vrgmbxx1qem2r0bqwbh.net,gameoverdga
dga,nrvakvceqkfhx,nrvakvceqkfhx.info,cryptolocker
dga,f47acc568119a22c192f5d78b3c13bfa,f47acc568119a22c192f5d78b3c13bfa.cz.cc,bamital
dga,6a4fe36b6b1cb436f75bb7e85bcaec40,6a4fe36b6b1cb436f75bb7e85bcaec40.info,bamital
dga,ifalemlliebqeg,ifalemlliebqeg.info,cryptolocker
dga,15flxd518hr62g9hn1pa1elxvz8,15flxd518hr62g9hn1pa1elxvz8.net,gameoverdga
dga,behnconslabg,behnconslabg.com,cryptolocker
dga,uqwontjgxbtksll,uqwontjgxbtksll.net,cryptolocker
dga,quickhurry,quickhurry.net,nivdort
dga,mmtgjlwwxnhedev,mmtgjlwwxnhedev.ru,cryptolocker
dga,tkuoovjzamnbkrhymzkbtcdmptcpau,tkuoovjzamnbkrhymzkbtcdmptcpau.ru,goz
dga,tlwqyjqa,tlwqyjqa.la,necurs
dga,iatovwqtywqjbw,iatovwqtywqjbw.org,cryptolocker
dga,i8vgss18oq8lq1ptxscog9f4jp,i8vgss18oq8lq1ptxscog9f4jp.org,newgoz
dga,rctcmgsgsaqlof,rctcmgsgsaqlof.com,cryptolocker
dga,yr8k7zcwycshtaiaac1oub3qa,yr8k7zcwycshtaiaac1oub3qa.org,gameoverdga
dga,edklqrlvfmab,edklqrlvfmab.ru,cryptolocker
dga,cpdhieeptilwpev,cpdhieeptilwpev.ru,cryptolocker
dga,urnlioprmmnespu,urnlioprmmnespu.ru,cryptolocker
dga,qfngrrdaopgifhc,qfngrrdaopgifhc.ru,cryptolocker
dga,nqwcuvctspgyrcylrkauhzherd,nqwcuvctspgyrcylrkauhzherd.ru,goz
dga,licvbpifctdgcew,licvbpifctdgcew.ru,cryptolocker
dga,v2ishl1l3jeb68s79p3vkn2a,v2ishl1l3jeb68s79p3vkn2a.org,newgoz
dga,rpfqcbyrbpttsmu,rpfqcbyrbpttsmu.ru,cryptolocker
dga,weduaw13ds8zx7m08x51dx8hxo,weduaw13ds8zx7m08x51dx8hxo.org,newgoz
dga,roa92asnzhxh2dmzcun9br6s,roa92asnzhxh2dmzcun9br6s.net,newgoz
dga,hjbfhulttugf,hjbfhulttugf.ru,cryptolocker
dga,sightfind,sightfind.net,nivdort
dga,qhvfciqmgphnuy,qhvfciqmgphnuy.ru,cryptolocker
dga,1kmpw17xcktuv1dyxs9q1eblw6c,1kmpw17xcktuv1dyxs9q1eblw6c.biz,newgoz
dga,pgwvvmsdgeosqxn,pgwvvmsdgeosqxn.net,cryptolocker
dga,lslsvpieg,lslsvpieg.com,necurs
dga,ujwywwooglnyd,ujwywwooglnyd.ru,cryptolocker
dga,a923cb85170f66afdc4292d5e3da0ca5,a923cb85170f66afdc4292d5e3da0ca5.co.cc,bamital
dga,ypxnqheckgjkbu,ypxnqheckgjkbu.ru,cryptolocker
dga,ftm5tl455mk213bje7dg4dydu,ftm5tl455mk213bje7dg4dydu.com,newgoz
dga,mtantwkbcylydq,mtantwkbcylydq.ru,cryptolocker
dga,ewjyfigkoivilw,ewjyfigkoivilw.net,necurs
dga,lbgqtprhbyukemvcnulzl,lbgqtprhbyukemvcnulzl.ru,goz
dga,14l1wchu3258qoeavgxxjz5oq,14l1wchu3258qoeavgxxjz5oq.com,newgoz
